"ProjectID","EPGeoName","lat","lng","Ward","Constituency","County","Project Cost Yearly Breakdown (KES)","Total Project Cost (KES)","Approval Date ","Start Date (Planned)","Start Date (Actual)","End Date (Planned)","End Date (Actual)","Duration","Duration (Months)","Project Title","Project Description","Project Objectives","NG Programme","Vision 2030 Flagship Ministry","Vision 2030 Flagship Project/Programme","Implementing Agency","Implementation Status","MTEF Sector","Work Plan Progress (%) "
"2014/054754","Unspecified",3.138899,38.823833,,"MOYALE","MARSABIT",30803571429,30803571429,"07/10/2013 12:00:00 AM","07/01/2014 12:00:00 AM",,"06/30/2019 12:00:00 AM",,"59 months 29 days","59 months","Food Security And Drought Resilience Programme","CONTRIBUTION TO THE IMPROVEMENT OF LIVEELIHOOD OF THE PASTORAL SYSTEMS","TO SUSTAIN THE LIVELIHOOD OF KENYANS IN N KENYA","010800 - Crop Development and Management","Unspecified","Unspecified","1161 - State Department for Agriculture","Planned","Agriculture, Rural and Urban Development (ARUD)",0
"2014/054965","Unspecified",3.138899,38.823833,,"MOYALE","MARSABIT",3250141970,13000567878,"01/15/2010 12:00:00 AM","03/08/2011 12:00:00 AM","05/04/2011 12:00:00 AM","04/14/2014 12:00:00 AM",,"36 months 9 days","36 months","CONSTRUCTION OF MARSABIT-TURBI ROAD (A2)","THE PROJECT ROAD WHICH IS IN MARSABIT COUNTY IS PART OF THE MOMBASA-NAIROBI-ADDIS ABABA CORRIDOR DEVELOPMENT PROJECT ENDING AT TURBI VILLAGE WITH A TOTAL LENGTH OF 121.5KM.THE WORK COVERS RECONSTRUCTION,WIDENING AND UPGRADING THE EXISTING GRAVEL SURFACED","TO ENHANCE SOCIAL AND ECONOMIC INTERGRATION","020200 - Road Transport","Unspecified","Unspecified","109 - Ministry of Transport and Infrastructure","Ongoing","Energy, Infrastructure and ICT",0
"2010/052425","Unspecified",3.138899,38.823833,,"MOYALE","MARSABIT",,,,,,,,,,,,,,,,,,,0
"2013/054555","Unspecified",3.1254982034,34.9184996024,"LOIMA","LOIMA","TURKANA",1892300,2838450,"11/28/2013 12:00:00 AM","11/28/2013 12:00:00 AM",,"12/31/2015 12:00:00 AM",,"25 months 3 days","25 months","Extractive Industries For Sustainable Development In Kenya","Discovery of oil and minerals in Kenya needs the extractive sectors of Kenya be governed in more  participatory, equitable and sustainable  ways  to ensure  that they  contribute  to peace  and sustainable  human development.","PEACE AND SUSTAINABLE HUMAN DEVELOPMENT.","071900 - Economic and Financial Policy Formulation and Management","Unspecified","Unspecified","1071 - The National Treasury; 1191 - Ministry of Mining","Planned","Public Administration and International Relations (PAIR)",0
"2012/053979","Unspecified",2.968195,39.64676,,"WAJIR NORTH","WAJIR",15625000,39062500,"01/05/2009 12:00:00 AM","01/26/2009 12:00:00 AM",,"12/31/2015 12:00:00 AM",,"83 months 5 days","83 months","NOKET (Girls Scholarships)","Provision of scholarships for girls especiallly in the ASAL areas.","Reduce the gender disparity especially in ASAL districts. Increase attendance retention and transition of girls especially in the ASAL areass","071000 - Public Service Transformation","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1032 - State Department for Devolution","Ongoing","Public Administration and International Relations (PAIR)",0
"2014/055133","Unspecified",2.968195,39.64676,,"WAJIR NORTH","WAJIR",,,,,,,,,,,,,,,,,,,0
"2014/055138","Unspecified",2.968195,39.64676,,"WAJIR NORTH","WAJIR",,,,,,,,,,,,,,,,,,,0
"2014/055051","Unspecified",2.4665798222,37.8999958492,"MARSABIT CENTRAL","SAKU","MARSABIT",,,,,,,,,,,,,,,,,,,0
"2013/054575","Unspecified",2.4379308811,35.0975440523,"ALALE","KACHELIBA","WEST POKOT",,,,,,,,,,,,,,,,,,,0
"2012/053329","Unspecified",2.333759,37.948363,,"SAKU","MARSABIT",17532467532,17532467532,"04/20/2010 12:00:00 AM","10/30/2012 12:00:00 AM",,"10/30/2017 12:00:00 AM",,"60 months 0","60 months","Support To The Road Sector Policy: Regional Roads Component (Merille - Marsabit Road)","Upgrading of the 122 km Merille River to Marsabit section of the 1495 km Nairobi - Addis Ababa highway (A2) from the existing gravel surface to paved international standard.","The overall objective is to attain a sustainable, safe roads network that facilitate economic growth and improvement in living standards","020200 - Road Transport","Ministry of Transport and Infrastructure","Lamu Corridor Development.","109 - Ministry of Transport and Infrastructure; 133 - MOR - Kenya National Highway Authority; 1091 - State Department of Infrastructure","Ongoing","Energy, Infrastructure and ICT",0
"2012/053329","Unspecified",2.297639,37.361231,,"LAISAMIS","MARSABIT",17532467532,17532467532,"04/20/2010 12:00:00 AM","10/30/2012 12:00:00 AM",,"10/30/2017 12:00:00 AM",,"60 months 0","60 months","Support To The Road Sector Policy: Regional Roads Component (Merille - Marsabit Road)","Upgrading of the 122 km Merille River to Marsabit section of the 1495 km Nairobi - Addis Ababa highway (A2) from the existing gravel surface to paved international standard.","The overall objective is to attain a sustainable, safe roads network that facilitate economic growth and improvement in living standards","020200 - Road Transport","Ministry of Transport and Infrastructure","Lamu Corridor Development.","109 - Ministry of Transport and Infrastructure; 133 - MOR - Kenya National Highway Authority; 1091 - State Department of Infrastructure","Ongoing","Energy, Infrastructure and ICT",0
"2010/052263","Nation Wide - Kenya",2.2503031994,37.875316137,"KARARE","SAKU","MARSABIT",2142000000,2142000000,"02/23/2009 12:00:00 AM","07/01/2010 12:00:00 AM",,"06/30/2016 12:00:00 AM",,"71 months 29 days","71 months","Community Empowerement And Institutional Support Project (CEISP)","The project comprises of two components; 
i) Capacity building component which aims at developing the capacity of communities and other local level stakeholders to make better, more focused and equitable use of resources made available through Devolved f","The project objective is to help empower poor communities to access socio-economic services in order to reduce poverty and to improve the management of local socio-economic development.","070600 - Economic Policy and National Planning","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1031 - State Department for Planning","Ongoing","Public Administration and International Relations (PAIR)",0
"2014/055114","Unspecified",2.0873353324,40.0787881817,"TARBAJ","TARBAJ","WAJIR",,,,,,,,,,,,,,,,,,,0
"2014/054749","Unspecified",1.9444,40.641882,,"WAJIR EAST","WAJIR",,,,,,,,,,,,,,,,,,,0
"2014/054848","Unspecified",1.881345,36.198846,,"TURKANA EAST","TURKANA",,,,,,,,,,,,,,,,,,,0
"2010/052263","Nation Wide - Kenya",1.7899461525,40.0769943719,"WAGBERI","WAJIR EAST","WAJIR",2142000000,2142000000,"02/23/2009 12:00:00 AM","07/01/2010 12:00:00 AM",,"06/30/2016 12:00:00 AM",,"71 months 29 days","71 months","Community Empowerement And Institutional Support Project (CEISP)","The project comprises of two components; 
i) Capacity building component which aims at developing the capacity of communities and other local level stakeholders to make better, more focused and equitable use of resources made available through Devolved f","The project objective is to help empower poor communities to access socio-economic services in order to reduce poverty and to improve the management of local socio-economic development.","070600 - Economic Policy and National Planning","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1031 - State Department for Planning","Ongoing","Public Administration and International Relations (PAIR)",0
"2010/052504","Unspecified",1.7899461525,40.0769943719,"WAGBERI","WAJIR EAST","WAJIR",1900000000,1900000000,"06/29/2010 12:00:00 AM","10/01/2010 12:00:00 AM","01/10/2010 12:00:00 AM","06/30/2015 12:00:00 AM",,"59 months 29 days","59 months","East Africa Public Health Laboratory Network Project (EAPLHP)","REHABILITATION,EXPANSION AND CONSTRUCTION OF 5 SATELITE LABORATORIES TO EXPAND DIAGNOSTIC SERVICES
DEVELOP CAPACITYOF LABORATORY PERSONEL
CARRYING OUT OPERATIONAL REASEARCH AND FACILITATE KNOWLEDGE SHARING","ESTABLISH A NETWORK OF EFFICIENT, HIGH QUALITY,ACCESSIBLE PUBLIC HEALTH LABORATORIES FOR THE DIAGNOSIS AND SURVAILLANCE OF TUBERCULOSIS AND OTHER COMMUNICABLE DISEASES","040100 - Preventive & Promotive Health Services","Unspecified","Unspecified","1081 - Ministry of Health","Ongoing","Health",0
"2010/052263","Nation Wide - Kenya",1.7260674088,35.4319499208,"SEKERR","SIGOR","WEST POKOT",2142000000,2142000000,"02/23/2009 12:00:00 AM","07/01/2010 12:00:00 AM",,"06/30/2016 12:00:00 AM",,"71 months 29 days","71 months","Community Empowerement And Institutional Support Project (CEISP)","The project comprises of two components; 
i) Capacity building component which aims at developing the capacity of communities and other local level stakeholders to make better, more focused and equitable use of resources made available through Devolved f","The project objective is to help empower poor communities to access socio-economic services in order to reduce poverty and to improve the management of local socio-economic development.","070600 - Economic Policy and National Planning","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1031 - State Department for Planning","Ongoing","Public Administration and International Relations (PAIR)",0
"2014/054983","Unspecified",1.657327,39.530707,,"DAGORETTI NORTH","NAIROBI",612000000,612000000,"04/03/2014 12:00:00 AM","07/01/2014 12:00:00 AM",,"06/30/2015 12:00:00 AM",,"11 months 29 days","11 months","FIRE FIGHTING EQUIPMENT FOR NAIROBI METROPOLITAN","FIREFIGHTING EQUIPMENT CONSISTING OF TRUCKS, LAND ROVERS AND MACHINERY","TO REDUCE DESTRUCTION OF LIFE/ PROPERTY RESULTING FROM FIRE OUTBREAKS","010500 - Urban and Metropolitan Development","Unspecified","Unspecified","1111 - Ministry of Land Housing and Urban Development","Planned","Agriculture, Rural and Urban Development (ARUD)",0
"2014/054749","Unspecified",1.657327,39.530707,,"WAJIR WEST","WAJIR",,,,,,,,,,,,,,,,,,,0
"2012/054045","Unspecified",1.560905,35.545595,,"SIGOR","WEST POKOT",3475780,13400000,"10/27/2006 12:00:00 AM","07/01/2009 12:00:00 AM",,"06/30/2014 12:00:00 AM",,"59 months 29 days","59 months","Revitalization Of Sina Youth Polytechnic","CONSTRUCTION OF WORKSHOPS AND EQUIPING THE WORKSHOP","TO IMPART SKILLS TO THE YOUTH","050100 - Primary Education","Unspecified","Unspecified","106 - Ministry of Education","Ongoing","Education",0
"2014/054639","Unspecified",1.560905,35.545595,,"SIGOR","WEST POKOT",22800000,22800000,"10/27/2006 12:00:00 AM","02/01/2014 12:00:00 AM",,"06/30/2017 12:00:00 AM",,"40 months 29 days","40 months","Provision of Tools, Equipments and Furniture For Completed Polytechnics","CARRY OUT NEEDS ASSESSMENT SURVEY, PROCURE TOOLS, EQUIPMENT AND FURNITURE, TRAINING ON INVENTORY, USAGE AND MAINTENCE, M&E","TO ENHANCE THE SKILLS OF THE YOUTH","050100 - Primary Education","Unspecified","Unspecified","1062 - State Department for Science and Technology","Pipelined","Education",0
"2014/054677","Unspecified",1.560905,35.545595,,"SIGOR","WEST POKOT",3000000,3000000,"10/27/2006 12:00:00 AM","02/01/2014 12:00:00 AM",,"06/30/2017 12:00:00 AM",,"40 months 29 days","40 months","Rehabilitation Of Dormitories In Six Yps","TO REHABILITATE DORMITORIES IN 6 YP'S","TO MAKE THE ENVIRONMENT CONDUCIVE FOR LEARNING","050100 - Primary Education","Unspecified","Unspecified","1062 - State Department for Science and Technology","Planned","Education",0
"2014/054678","Unspecified",1.560905,35.545595,,"SIGOR","WEST POKOT",13900000,13900000,"10/27/2006 12:00:00 AM","02/25/2014 12:00:00 AM",,"06/30/2017 12:00:00 AM",,"40 months 5 days","40 months","Capacity Building In 18yp'S","TO BUILD THE CAPACITY OF INSTRUCTORS IN 18 YPS BEING ASSISTED THROUGH KIDDP","TO IMPROVE THE QUALITY OF TECHNICAL SKILLS OF THE INSTRUCTORS","050100 - Primary Education","Unspecified","Unspecified","1062 - State Department for Science and Technology","Planned","Education",0
"2014/054679","Unspecified",1.560905,35.545595,,"SIGOR","WEST POKOT",9300000,9300000,"10/27/2006 12:00:00 AM","02/25/2014 12:00:00 AM",,"06/30/2017 12:00:00 AM",,"40 months 5 days","40 months","Scholarships For Students In 18yps","TO EXTEND SCHOLARSHIPS TO NEEDY STUDENTS IN THE YPs BEING FUNDED THROUGH kiddp","TO HELP NEEDY STUDENTS TO ACQUIRE EDUCATION THROUGH SCHOLARSHIPS","050100 - Primary Education","Unspecified","Unspecified","1062 - State Department for Science and Technology","Planned","Education",0
"2014/054681","Unspecified",1.560905,35.545595,,"SIGOR","WEST POKOT",49500000,49500000,"10/27/2006 12:00:00 AM","02/01/2014 12:00:00 AM",,"06/30/2015 12:00:00 AM",,"16 months 29 days","16 months","Additional Water Works Under Kiddp","ADDITIONAL WORKS RELATED TO PREVIOUS UNFINISHED CONNECTIONS AND OTHER WORKS","TO IMPROVE THE ACCESS TO CLEAN AND SAFE WATER","100400 - Water Resources Management","Unspecified","Unspecified","1102 - State Department for Water and Regional Authorities.","Planned","Environmental Protection, Water and Natural Resources",0
"2013/054063","Unspecified",1.560905,35.545595,,"SIGOR","WEST POKOT",,,,,,,,,,,,,,,,,,,0
"2012/054044","Unspecified",1.51272,35.146273,,"KAPENGURIA","WEST POKOT",,2924218,"10/27/2006 12:00:00 AM","07/01/2009 12:00:00 AM",,"06/30/2014 12:00:00 AM",,"59 months 29 days","59 months","Revitalization Of Kapenguria Youth Polytechnic","CONSTRUCTION OF WORKSHOPS AND EQUIPING THEM","TO EQUIP THE YOUTH  WITH SURVIVAL SKILLS","050100 - Primary Education","Unspecified","Unspecified","106 - Ministry of Education","Ongoing","Education",0
"2014/055044","Unspecified",1.51272,35.146273,,"KAPENGURIA","WEST POKOT",,,,,,,,,,,,,,,,,,,0
"2010/051918","Homabay",1.3946231447,35.5931913339,"HOMA BAY WEST","HOMA BAY TOWN","HOMA BAY",87968006,113101726,"01/01/2009 12:00:00 AM","01/01/2009 12:00:00 AM","01/01/2009 12:00:00 AM","03/03/2016 12:00:00 AM","09/12/2016 12:00:00 AM","95 months 8 days","95 months","Nutrition And Care For Hiv/Aids Affected People","PROVISION OF NUTRITIOUS FOOD TO HIV/AIDS AFFECTED PERSONS IN KENYA","PROVISIONS OF NUTRITIOUS FOOD TO HIV/AIDS AFFECTED PERSONS IN KENYA SO THAT THEY ARE ABLE TO TAKE THEIR A.R.V s DRUGS","040200 - Curative Health Services","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1081 - Ministry of Health","Ongoing","Health",0
"2012/053906","West Pokot",1.3946231447,35.5931913339,"CHEPARERIA","POKOT SOUTH","WEST POKOT",1756000000,2634000000,"03/06/2012 12:00:00 AM","03/29/2013 12:00:00 AM",,"11/30/2017 12:00:00 AM",,"56 months 1 day","56 months","Konza - Machakos -Kajjiado Namanga Transmission line & Substations","Construction of 132kV  transmission line and associated sub-stations","Enhance power connection and reliability in the region","021300 - Power  Transmission and Distribution","Unspecified","Unspecified","1151 - Ministry of Energy & Petroleum","Ongoing","Energy, Infrastructure and ICT",22.04
"2010/052263","Nation Wide - Kenya",1.3846161968,35.8618041419,"TIRIOKO","TIATY","BARINGO",2142000000,2142000000,"02/23/2009 12:00:00 AM","07/01/2010 12:00:00 AM",,"06/30/2016 12:00:00 AM",,"71 months 29 days","71 months","Community Empowerement And Institutional Support Project (CEISP)","The project comprises of two components; 
i) Capacity building component which aims at developing the capacity of communities and other local level stakeholders to make better, more focused and equitable use of resources made available through Devolved f","The project objective is to help empower poor communities to access socio-economic services in order to reduce poverty and to improve the management of local socio-economic development.","070600 - Economic Policy and National Planning","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1031 - State Department for Planning","Ongoing","Public Administration and International Relations (PAIR)",0
"2010/052263","Nation Wide - Kenya",1.3590359688,37.2112049425,"WAMBA NORTH","SAMBURU EAST","SAMBURU",2142000000,2142000000,"02/23/2009 12:00:00 AM","07/01/2010 12:00:00 AM",,"06/30/2016 12:00:00 AM",,"71 months 29 days","71 months","Community Empowerement And Institutional Support Project (CEISP)","The project comprises of two components; 
i) Capacity building component which aims at developing the capacity of communities and other local level stakeholders to make better, more focused and equitable use of resources made available through Devolved f","The project objective is to help empower poor communities to access socio-economic services in order to reduce poverty and to improve the management of local socio-economic development.","070600 - Economic Policy and National Planning","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1031 - State Department for Planning","Ongoing","Public Administration and International Relations (PAIR)",0
"2012/053979","Unspecified",1.260603,38.467815,,"ISIOLO NORTH","ISIOLO",15625000,39062500,"01/05/2009 12:00:00 AM","01/26/2009 12:00:00 AM",,"12/31/2015 12:00:00 AM",,"83 months 5 days","83 months","NOKET (Girls Scholarships)","Provision of scholarships for girls especiallly in the ASAL areas.","Reduce the gender disparity especially in ASAL districts. Increase attendance retention and transition of girls especially in the ASAL areass","071000 - Public Service Transformation","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1032 - State Department for Devolution","Ongoing","Public Administration and International Relations (PAIR)",0
"2014/054927","Unspecified",1.260603,38.467815,,"ISIOLO NORTH","ISIOLO",,,,,,,,,,,,,,,,,,,0
"2014/055067","Unspecified",1.260603,38.467815,,"ISIOLO NORTH","ISIOLO",,,,,,,,,,,,,,,,,,,0
"2010/051556","Unspecified",1.229172461,34.9607544669,"KWANZA","KWANZA","TRANS NZOIA",13044015,20497739,"01/25/2006 12:00:00 AM","07/12/2006 12:00:00 AM",,"09/30/2016 12:00:00 AM",,"122 months 18 days","122 months","Smallholder Dairy Commercialisation Programme","JOINT DEVELOPMENT PROGRAMME BETWEEN THE GOVERNMENT AND INTERNATIONAL FUND FOR AGRICULTURAL DEVELOPMENT WITH AN EPHASIS ON COMMERCIALISATION OF DAIRY AND DAIRY PRODUCTS THROUGH THE MARKET ORIENTED DAIRY ENTERPRISE APPROACH.","INCREASE THE INCOME OF THE POOR RURAL HOUSE HOLD THAT DEPEND SUBSTANTIALLY ON PRODUCTION AND TRADE OF DAIRY PRODUCTS FOR THEIR LIVELIHOOD.","011200 - Livestock Resources Management and Development","Unspecified","Unspecified","116 - Ministry of Agriculture, Livestock and Fisheries; 1162 - State Department for Livestock","Ongoing","Agriculture, Rural and Urban Development (ARUD)",0
"2010/051562","Unspecified",1.146227,35.577226,,"MARAKWET EAST","ELEGEYO-MARAKWET",45491142,250201126,"06/03/2004 12:00:00 AM","07/01/2004 12:00:00 AM","02/08/2004 12:00:00 AM","08/04/2014 12:00:00 AM","01/09/2014 12:00:00 AM","120 months 30 days","120 months","Asal &Nbsp;Based Livestock And Rural Livelihoods Support Project / National Livestock Development","LIVESTOCK PRODUCTIVITY,ANMAL HEALTH .LIVESTOCK MARKETING,DROUGHT MANAGEMENT AND FOOD SECURITY INITIATIVES.","TO IMPROVE SUSTAINABLE RURAL LIVELIHOODS AND FOOD SECURITY THROUGH IMPROVED LIVESTOCK PRODUCTIVITY. MARKETING AND SUPPORT FOR DROUGHT MANAGEMENT AND FOOD SECURITY INITIATIVES IN ASAL AREAS.","011200 - Livestock Resources Management and Development","Unspecified","Unspecified","116 - Ministry of Agriculture, Livestock and Fisheries","Ongoing","Agriculture, Rural and Urban Development (ARUD);   Unallocated",0
"2010/052313",0,1.146227,35.577226,,"MARAKWET EAST","ELEGEYO-MARAKWET",1576546224,2837783200,"01/28/2005 12:00:00 AM","03/31/2006 12:00:00 AM","03/07/2006 12:00:00 AM","06/29/2018 12:00:00 AM",,"146 months 24 days","146 months","Green Zones Development Support Project","Has four main components 
i) Natural Forest Conservation- Paricipatory natural forests management, restoratoration of county council hilltops and watersheds
ii) Buffer Belt Watershed Management -Reforestation of 5000 ha of natural forests, plant 5000  ha","The overall goal of the project is to contribute to poverty reduction and improvement of forest cover for water and biodiversity conservation in Kenya. 

The specific objective of the project is to promote forest regeneration and conservation for environ","100200 - Environment Management and Protection; 010800 - Crop Development and Management","Unspecified","Unspecified","110 - Ministry of Environment Water and Natural Resources; 116 - Ministry of Agriculture, Livestock and Fisheries; 1101 - State Department for Environment  and Natural Resources; 1161 - State Department for Agriculture","Ongoing","Agriculture, Rural and Urban Development (ARUD)",0
"2014/054797","Unspecified",1.146227,35.577226,,"MARAKWET EAST","ELEGEYO-MARAKWET",601074794,1803224383,"07/05/2011 12:00:00 AM","12/22/2011 12:00:00 AM",,"07/23/2014 12:00:00 AM",,"18 months 0","18 months","Upgrading To Bitumen Standards Of Tirap-Embobut Bridge-Chesogon Road","THE PROJECT IS SITUATED IN MARAKWET EAST DISTRICT,ELGEYO MARAKWET COUNTY.THE PROJECT IA APPROXIMATELY 35KMS LONG AND IS CLASSIFIED AS CLASS E352.","TO CREATE BETTER ROADS TO REACH VISION 2030","020200 - Road Transport","Unspecified","Unspecified","109 - Ministry of Transport and Infrastructure","Ongoing","Energy, Infrastructure and ICT",0
